"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"nqx - probability of dying between ages x and x+n"," 60-64 years","0.048778564","0.063359831","0.033884525","0.052958327","0.069850762","0.035655348","0.062025835","0.079554733","0.043944611","0.067742831","0.082999832","0.051203541","0.071943532","0.088755926","0.053318981"
"nqx - probability of dying between ages x and x+n"," 65-69 years","0.078138957","0.099219204","0.057234714","0.084231395","0.108760888","0.059743262","0.096282351","0.120373264","0.070841497","0.110939485","0.133891399","0.086172855","0.115635653","0.141504855","0.088324214"
"nqx - probability of dying between ages x and x+n"," 70-74 years","0.137236768","0.171907316","0.10440202","0.144098943","0.179048023","0.109366829","0.162770114","0.198541983","0.126145906","0.192568397","0.231182306","0.153798097","0.202084946","0.238248727","0.166032905"
"nqx - probability of dying between ages x and x+n"," 75-79 years","0.221445846","0.272106813","0.175377243","0.233269651","0.287905281","0.183014513","0.261059858","0.31443418","0.212899084","0.293918453","0.347543254","0.245423494","0.299026936","0.354974612","0.251179808"
"nqx - probability of dying between ages x and x+n"," 80-84 years","0.371374039","0.445128503","0.31134988","0.383716156","0.459071974","0.324657754","0.436162384","0.513830454","0.374105313","0.458194129","0.530310451","0.403457525","0.459987412","0.533954978","0.404168568"
"nqx - probability of dying between ages x and x+n"," 85+ years","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"lx - number of people left alive at age x"," &lt;1 year","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05"
"lx - number of people left alive at age x"," 1-4 years","99323.63417","99282.63558","99369.71176","99088.27429","99026.49368","99158.07639","98662.52493","98580.10754","98758.91413","97884.9159","97760.28116","98031.20805","97479.57538","97310.70342","97668.67094"
"lx - number of people left alive at age x"," 5-9 years","99209.9668","99162.62847","99263.22073","98937.05304","98868.57775","99014.57477","98439.84827","98344.99172","98550.76701","97518.17806","97374.36198","97686.594","96781.25619","96588.30059","96997.91917"
"lx - number of people left alive at age x"," 10-14 years","99118.24646","99065.84961","99177.33233","98830.72863","98757.58547","98913.70248","98307.58573","98205.30851","98427.08201","97346.84413","97194.00765","97525.4987","96550.23373","96349.23137","96775.87254"
"lx - number of people left alive at age x"," 15-19  years","99022.10185","98946.08436","99108.75277","98724.86947","98621.59348","98842.66087","98186.662","98053.55757","98341.13705","97204.16366","97014.24729","97424.13782","96378.40745","96159.1476","96623.68087"
